timestamp,open,high,low,close,volume
2020-11-23,6.1900,8.7000,6.1500,8.5500,225824548
2020-11-20,5.2400,5.8000,5.0500,5.5400,99489011
2020-11-19,5.1400,5.9900,5.0200,5.3600,210951047
2020-11-18,4.0700,5.8000,3.9100,5.1000,231333659
2020-11-17,4.3300,4.5200,3.8500,4.1200,150439573
2020-11-16,2.9825,3.7800,2.9700,3.7450,96275828
2020-11-13,2.5800,2.9900,2.5800,2.8500,45999612
2020-11-12,2.6300,2.6911,2.5200,2.5600,18133615
2020-11-11,2.4300,2.7500,2.4000,2.6900,34301839
2020-11-10,2.5311,2.5700,2.3300,2.4300,15606498
2020-11-09,2.5200,2.6500,2.4200,2.5200,25044514
2020-11-06,2.4681,2.4800,2.3500,2.3900,11731454
2020-11-05,2.2700,2.4950,2.2700,2.4800,20757576
2020-11-04,2.2623,2.2700,2.1600,2.2300,10554801
2020-11-03,2.2300,2.3300,2.1800,2.3200,18767095
2020-11-02,2.0892,2.1650,2.0100,2.1500,10169848
2020-10-30,2.1400,2.1455,1.9800,2.0000,15739889
2020-10-29,2.1800,2.1900,2.0600,2.1600,8852061
2020-10-28,2.1500,2.1900,2.1000,2.1400,9972724
2020-10-27,2.2700,2.3050,2.2000,2.2150,6367724
2020-10-26,2.3100,2.4400,2.2100,2.2500,10717879
2020-10-23,2.2900,2.3900,2.2300,2.3800,10650131
2020-10-22,2.2000,2.2800,2.1100,2.2600,9658939
2020-10-21,2.2600,2.2750,2.1300,2.1800,13929308
2020-10-20,2.3100,2.3450,2.2700,2.3000,7820192
2020-10-19,2.3500,2.4381,2.2900,2.3200,11031360
2020-10-16,2.4323,2.4686,2.3200,2.3300,10816179
2020-10-15,2.3400,2.4600,2.3000,2.4400,10666723
2020-10-14,2.5057,2.5200,2.3800,2.4300,15221217
2020-10-13,2.5067,2.6200,2.4400,2.4800,16298398
2020-10-12,2.7300,2.7500,2.4500,2.5400,32032315
2020-10-09,2.5400,2.6600,2.4300,2.6200,60755206
2020-10-08,2.4500,2.6100,2.3100,2.3800,67599819
2020-10-07,1.9659,2.2200,1.9300,2.1600,34999488
2020-10-06,1.9500,2.0200,1.8500,1.9200,30003381
2020-10-05,2.0900,2.1200,1.5800,1.8900,93962232
2020-10-02,2.0200,2.0700,1.9800,2.0200,22416227
2020-10-01,2.1900,2.1900,2.1000,2.1000,21180213
2020-09-30,2.1900,2.2800,2.1200,2.1400,54513552
2020-09-29,2.5056,2.5700,2.4300,2.5600,16596098
2020-09-28,2.3722,2.4900,2.3400,2.4300,8910299
2020-09-25,2.2800,2.3650,2.2300,2.2900,5574570
2020-09-24,2.2400,2.4000,2.1700,2.2800,8081276
2020-09-23,2.4400,2.5200,2.1900,2.2300,10733798
2020-09-22,2.5600,2.5900,2.4300,2.4700,6961785
2020-09-21,2.4954,2.6000,2.3900,2.5900,12868048
2020-09-18,2.4700,2.6400,2.4300,2.6150,14542810
2020-09-17,2.4700,2.5700,2.3700,2.4600,12130407
2020-09-16,2.4500,2.5300,2.3400,2.5000,11053300
2020-09-15,2.2800,2.4700,2.2700,2.4200,11245297
2020-09-14,2.2100,2.2800,2.1100,2.2600,12751098
2020-09-11,2.2600,2.2800,2.1000,2.1700,14795519
2020-09-10,2.5000,2.5000,2.1300,2.1700,39267028
2020-09-09,2.6000,2.6700,2.4600,2.6300,11078537
2020-09-08,2.5000,2.6800,2.4800,2.5150,12978321
2020-09-04,2.5900,2.6000,2.3300,2.5600,12603888
2020-09-03,2.6600,2.6800,2.4000,2.4300,16237647
2020-09-02,2.8600,2.8700,2.6200,2.6700,13510795
2020-09-01,2.8400,2.9000,2.7100,2.9000,10132185
2020-08-31,2.9700,2.9800,2.7800,2.8400,9901567
2020-08-28,2.9500,2.9900,2.9000,2.9900,6773995
2020-08-27,2.9900,3.0800,2.8600,2.9500,8539452
2020-08-26,2.8500,3.1000,2.8400,2.9400,15759586
2020-08-25,2.7800,2.9400,2.7300,2.8800,9720879
2020-08-24,2.9600,3.0590,2.7100,2.7750,13855674
2020-08-21,2.9500,3.1700,2.9000,2.9200,13403254
2020-08-20,3.2200,3.2200,2.9000,2.9600,18830194
2020-08-19,3.0400,3.5000,3.0100,3.1700,49666127
2020-08-18,2.8400,3.0900,2.8300,3.0600,20453046
2020-08-17,2.7000,2.8600,2.6800,2.8400,7051002
2020-08-14,2.8300,2.8800,2.6800,2.7300,7201381
2020-08-13,2.7700,2.9400,2.7600,2.8300,12021449
2020-08-12,2.7371,2.7784,2.6200,2.7700,7044173
2020-08-11,2.8900,2.9000,2.6500,2.6800,10701669
2020-08-10,2.7500,2.8800,2.7250,2.8700,13874226
2020-08-07,2.5600,2.7400,2.5100,2.6800,12552555
2020-08-06,2.5500,2.6900,2.5400,2.5600,11229230
2020-08-05,2.5469,2.5700,2.4500,2.5600,7228080
2020-08-04,2.6300,2.6500,2.4200,2.5400,12419604
2020-08-03,2.2600,2.6000,2.2600,2.5500,15011361
2020-07-31,2.3300,2.3500,2.1600,2.2300,9350583
2020-07-30,2.2000,2.3400,2.1600,2.2900,8556762
2020-07-29,2.4400,2.4400,2.1700,2.3000,13317880
2020-07-28,2.4300,2.5000,2.3800,2.4100,6573659
2020-07-27,2.5200,2.5587,2.3200,2.4600,11424910
2020-07-24,2.5300,2.5900,2.5000,2.5200,5929648
2020-07-23,2.7500,2.7900,2.5200,2.6400,12435157
