timestamp,open,high,low,close,volume
2020-11-23,25.7100,31.1900,25.6733,30.1400,27349923
2020-11-20,24.1000,25.7900,22.1000,24.7400,31312640
2020-11-19,20.2600,24.3900,20.2600,24.2300,24963801
2020-11-18,17.7600,20.7500,17.7600,20.4700,24758607
2020-11-17,15.3100,17.6399,14.8100,17.2200,14548632
2020-11-16,14.7500,15.5800,14.4400,15.4000,7392921
2020-11-13,13.7200,14.7100,13.6200,14.6900,8424438
2020-11-12,13.1500,14.4500,13.0700,13.5700,11859793
2020-11-11,13.6100,13.7900,12.9600,12.9600,10279331
2020-11-10,13.1016,15.0000,11.7000,12.9100,30560498
2020-11-09,17.8300,17.8500,15.8100,16.0000,13961276
2020-11-06,19.2500,19.3000,18.2500,18.9500,9360805
2020-11-05,17.9500,19.6100,17.7500,19.3400,14911053
2020-11-04,17.7500,18.0800,17.1400,17.6400,9111200
2020-11-03,16.5600,17.6500,16.3100,17.2600,11464429
2020-11-02,15.4100,16.4700,15.0500,16.0500,9293002
2020-10-30,16.6800,17.3000,14.7000,14.9600,15327540
2020-10-29,17.0000,17.5600,16.2000,17.2700,14156890
2020-10-28,16.6000,17.9000,15.2500,17.6600,15499825
2020-10-27,18.3100,18.5800,16.8000,17.7100,12641565
2020-10-26,18.9700,19.6000,17.4650,18.0300,30816891
2020-10-23,16.6500,17.9800,16.3200,17.8700,21000502
2020-10-22,15.3300,16.8800,15.3300,16.4900,15324015
2020-10-21,15.7500,15.8700,14.1500,15.5400,13862448
2020-10-20,15.3600,17.1300,15.0000,15.3700,27424328
2020-10-19,14.8500,15.7600,14.3400,15.3200,15188159
2020-10-16,13.5700,15.8800,13.2700,15.2200,36538355
2020-10-15,12.0200,12.9900,11.6300,12.9100,10938991
2020-10-14,12.7800,13.6900,12.4100,12.8700,17475450
2020-10-13,12.5000,12.7800,11.5100,12.3600,13493963
2020-10-12,10.6200,12.4000,10.5000,12.2600,24470461
2020-10-09,10.3500,11.8000,10.1800,10.3600,28129340
2020-10-08,9.0800,10.6400,8.7200,10.5200,35453757
2020-10-07,8.0600,8.6500,7.9898,8.5300,4918871
2020-10-06,8.1100,8.4200,7.8600,7.9200,4395234
2020-10-05,8.1300,8.2800,7.8122,8.1400,3197293
2020-10-02,7.7000,8.1300,7.6600,8.0800,1949472
2020-10-01,8.1400,8.1700,7.6500,8.0800,3320140
2020-09-30,8.2600,8.6800,7.7800,7.9900,6535525
2020-09-29,7.7600,8.6600,7.7600,8.1500,8993719
2020-09-28,8.0600,8.0600,7.5500,7.7600,2380637
2020-09-25,7.4200,7.9400,7.4100,7.7700,2685788
2020-09-24,7.0000,7.5900,7.0000,7.3500,2738832
2020-09-23,8.1300,8.2229,7.1700,7.2600,4904173
